Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"T Islam, A Kundu, RJ Lima, MH Hena, O Sharif, A Rahman, MZ Hasan","Review analysis of ride-sharing applications using machine learning approaches: Bangladesh perspective",2023,"Computational Statistical Methodologies and Modeling for Artificial …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2598336532190718528",3,"2025-03-24 02:16:32","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:2osOgNQ5qMEC",,,,,29,14.50,4,7,2,"","",""
35,"T Islam, MA Hosen, A Mony, MDT Hasan, I Jahan, A Kundu","A proposed Bi-LSTM method to fake news detection",2022,"2022 International Conference for Advancement in Technology (ICONAT)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1360975893620466996",1,"2025-03-24 02:16:32","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:u5HHmVD_uO8C",,,1,5,35,11.67,6,6,3,"","",""
31,"T Islam, A Kundu, N Islam Khan, C Chandra Bonik, F Akter, ...","Machine learning approaches to predict breast cancer: Bangladesh perspective",2021,"International Conference on Ubiquitous Computing and Intelligent Information …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15040320261174703505",2,"2025-03-24 02:16:32","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:d1gkVwhDpl0C",,,,,31,7.75,5,6,4,"","",""
12,"T Islam, A Kundu, T Ahmed, NI Khan","Analysis of arrhythmia classification on ECG dataset",2022,"2022 IEEE 7th International conference for Convergence in Technology (I2CT)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12860904475729639407",4,"2025-03-24 02:16:32","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:9yKSN-GCB0IC",,,1,6,12,4.00,3,4,3,"","",""
0,"T Islam, A Kundu, RJ Lima, MH Hena, O Sharif, A Rahman, MZ Hasan","5 Review Analysis of Ride-Sharing",2023,"Computational Statistical Methodologies and Modeling for Artificial …","","","https://scholar.google.com",5,"2025-03-24 02:16:32","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:qjMakFHDy7sC",,,,,0,0.00,0,7,2,"","",""
0,"T Islam, A Kundu, RJ Lima","A proposal of the Variometer for paragliding using Aurdino System",,"","","","https://scholar.google.com",6,"2025-03-24 02:16:32","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JLBWiJwAAAAJ&pagesize=100&citation_for_view=JLBWiJwAAAAJ:u-x6o8ySG0sC",,,,,0,0.00,0,3,,"","",""
