Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"R Hassan, KMS Wadith, MM Rashid, MM Khan","DePAint: a decentralized safe multi-agent reinforcement learning algorithm considering peak and average constraints",2024,"Applied Intelligence","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6473596370620058706",35,"2025-03-24 02:04:17","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:qxL8FJ1GzNcC",,,1,17,3,3.00,1,4,1,"","",""
11,"M Rashik, MM Rahman, MM Khan, M Mamun-or-Rashid, L Tran-Thanh, ...","Speeding up distributed pseudo-tree optimization procedures with cross edge consistency to solve DCOPs",2021,"Applied Intelligence","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1393467597985860111",18,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:9ZlFYXVOiuMC",51,,1733,1746,11,2.75,2,6,4,"","",""
18,"MA Hamid, M Abdullah-Al-Wadud, MM Hassan, A Almogren, A Alamri, ...","A key distribution scheme for secure communication in acoustic sensor networks",2018,"Future Generation Computer Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5917651379706809009",12,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:RHpTSmoSYBkC",86,,1209,1217,18,2.57,3,6,7,"","",""
30,"MM Alam, MA Razzaque, M Mamun-Or-Rashid, CS Hong","Energy-aware QoS provisioning for wireless sensor networks: Analysis and protocol",2009,"Journal of Communications and Networks","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16454835292007402085",6,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:2osOgNQ5qMEC",11,4,390,405,30,1.88,8,4,16,"","",""
12,"S Zaman, C Chakraborty, N Mehajabin, M Mamun-Or-Rashid, ...","A deep learning based device authentication scheme using channel state information",2018,"2018 International conference on innovation in engineering and technology …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7295458771206323815",17,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:mB3voiENLucC",,,,,12,1.71,2,5,7,"","",""
6,"MM Rahman, A Rasheed, MM Khan, MA Javidian, P Jamshidi, ...","Accelerating recursive partition-based causal structure learning",2021,"arXiv preprint arXiv:2102.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12043285472290517075",31,"2025-03-24 02:04:17","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:QIV2ME_5wuYC",11545,,,,6,1.50,1,6,4,"","",""
26,"M Mamun-Or-Rashid, MM Alam, MA Razzaque, CS Hong","Reliable event detection and congestion avoidance in wireless sensor networks",2007,"High Performance Computing and Communications: Third International …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12532234551346390922",7,"2025-03-24 02:04:17","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:qjMakFHDy7sC",,,,,26,1.44,7,4,18,"","",""
10,"M Islam, MA Razzaque, M Mamun-Or-Rashid, MM Hassan, A Alelaiwi, ...","Traffic engineering in cognitive mesh networks: Joint link-channel selection and power allocation",2018,"Computer Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=478416013519301421",20,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:ZeXyd9-uunAC",116,,212,224,10,1.43,2,6,7,"","",""
25,"M Mamun-Or-Rashid, MM Alam, MA Razzaque, CS Hong","Congestion avoidance and fair event detection in wireless sensor network",2007,"IEICE transactions on communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1374080851982061467",8,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:zYLM7Y9cAGgC",90,12,3362,3372,25,1.39,6,4,18,"","",""
23,"MM Alam, M Mamun-Or-Rashid, CS Hong","Wsnmp: A network management protocol for wireless sensor networks",2008,"2008 10th International Conference on Advanced Communication Technology 1 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4546937465689612812",9,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:u-x6o8ySG0sC",,,,,23,1.35,8,3,17,"","",""
11,"M Islam, MA Razzaque, M Mamun-Or-Rashid, MM Hassan, A Almogren, ...","Dynamic traffic engineering for high-throughput data forwarding in wireless mesh networks",2016,"Computers &Electrical Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14901990253860839254",19,"2025-03-24 02:04:17","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:ULOm3_A8WrAC",,,,,11,1.22,2,6,9,"","",""
8,"MS Anwar, F Hossain, N Mehajabin, M Mamun-Or-Rashid, MA Razzaque","A comparative study on Gaussian process regression-based indoor positioning systems",2018,"2018 International Conference on Innovation in Engineering and Technology …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5396381583337274349",23,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:-f6ydRqryjwC",,,,,8,1.14,2,5,7,"","",""
18,"M Mamun-or-Rashid, MM Alam, CS Hong","Energy conserving passive clustering for efficient routing in wireless sensor network",2007,"The 9th International Conference on Advanced Communication Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12903011663050207816",13,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:IjCSPb-OGe4C",2,,982,986,18,1.00,6,3,18,"","",""
7,"A Habib, S Saha, FN Nur, A Razzaque, M Mamun-Or-Rashid","An efficient mobile-sink trajectory to maximize network lifetime in wireless sensor network",2018,"2018 International Conference on Innovation in Engineering and Technology …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7321339744720488692",27,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:HDshCWvjkbEC",,,,,7,1.00,1,5,7,"","",""
19,"M Mamun-Or-Rashid, CS Hong, CH In","Passive cluster based clock synchronization in sensor network",2005,"Advanced Industrial Conference on Telecommunications/Service Assurance with …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7973991291045010047",10,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:UeHWp8X0CEIC",,,,,19,0.95,6,3,20,"","",""
19,"MJ Hossain, O Chae, M Mamun-Or-Rashid, CS Hong","Cost-effective maximum lifetime routing protocol for wireless sensor networks",2005,"Advanced Industrial Conference on Telecommunications/Service Assurance with …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13575830882580544159",11,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:d1gkVwhDpl0C",,,,,19,0.95,5,4,20,"","",""
16,"M Mamun-Or-Rashid, CS Hong","LSLP: link stability and lifetime prediction based QoS aware routing for MANET",2007,"Proc. Joint Conference on Communications and Information (JCCI), Phoenix …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2237221079135625102",16,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:9yKSN-GCB0IC",,,,,16,0.89,8,2,18,"","",""
7,"M Islam, MA Razzaque, M Mamun-Or-Rashid","Joint link-channel selection and power allocation in multi-radio wireless mesh networks",2017,"2017 IEEE 18th International Symposium on A World of Wireless, Mobile and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13720162066671164146",28,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:e5wmG9Sq2KIC",,,,,7,0.88,2,3,8,"","",""
8,"S Imtiaz, MM Khan, M Mamun-or-Rashid, MM Rahman","Improved adaptive routing for multihop IEEE 802.15. 6 Wireless body area networks",2013,"International Journal of Intelligent Systems and Applications (IJISA), ISSN","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13163107692660341082",24,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:LkGwnXOMwfcC",,,,,8,0.67,2,4,12,"","",""
9,"MA Razzaque, M Mamun-Or-Rashid, CS Hong","MC2DR: multi-cycle deadlock detection and recovery algorithm for distributed systems",2007,"High Performance Computing and Communications: Third International …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5256700593024535758",22,"2025-03-24 02:04:17","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:_FxGoFyzp5QC",,,,,9,0.50,3,3,18,"","",""
8,"MA Razzaque, M Mamun-Or-Rashid, MM Alam, CS Hong","Aggregated traffic flow weight controlled hierarchical MAC protocol for wireless sensor networks",2009,"annals of telecommunications-annales des télécommunications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2694656741723871261",25,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:W7OEmFMy1HYC",64,,705,721,8,0.50,2,4,16,"","",""
