Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"MM Hasan, MJ Uddin, R Nasrin","Exothermic chemical reaction of magneto-convective nanofluid flow in a square cavity",2022,"International Journal of Thermofluids","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6518131493116490097",1,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:hqOjcs7Dif8C",16,,100236,100236,30,10.00,10,3,3,"","",""
2,"SAF M.J. Uddin, Md. Mehedi Hasan","Convective transport in a nanofluid-filled annulus with an eccentric hypocycloid within a square disk",2024,"International Journal of Thermofluids","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18105316860096474105",4,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:8k81kl-MbHgC",22,,100664,100664,2,2.00,1,2,1,"","",""
5,"MA Protima Dasha, F. T. Zohorab, M. Rahamanc, Md. Mehedi Hasand","Usage of Mathematics Tools with Example in Electrical and Electronic Engineering",2018,"American Scientific Research Journal for Engineering, Technology, and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12686972294682586926",2,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:d1gkVwhDpl0C",,,,,5,0.71,1,4,7,"","",""
2,"SI Jakia Sultana, Md. Mehedi Hasan, Samiha Islam Tanni, Umme Ruman","An Approach to Diet Cost Optimization for Different Age Groups Using Linear Programming",2022,"Open Access Library Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4153257086613793740",5,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:LkGwnXOMwfcC",9,1,7905,,2,0.67,1,4,3,"","",""
3,"AI Razina Ferdausi, Akram Hossain, Mehedi Hasan","EXISTENCE AND UNIQUENESS OF SOLUTIONS TO SYSTEM OF LINEAR EQUATIONS AND INTEGRAL EQUATIONS USING BANACH FIXED-POINT THEOREM.",2018,"INTERNATIONAL JOURNAL OF ADVANCED RESEARCH (IJAR)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15147110611405640069",3,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:Y0pCki6q_DkC",3,6,494,500,3,0.43,1,3,7,"","",""
2,"O Sharif, MZ Hasan, MA Halim, MM Hasan, MZ Sirdari","Regression Analysis to Rank: Evidence from Profit Risk and Efficiency",2020,"Communications in Computational and Applied Mathematics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11301828216623840040",6,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:YsMSGLbcyi4C",2,2,,,2,0.40,0,5,5,"","",""
0,"MM Hasan, MJ Uddin, SA Faroughi","Magnetohydrodynamic nanofluids flow and heat transfer with radiative heat flux and exothermic chemical reactions",2025,"International Journal of Thermofluids","","","https://scholar.google.com",7,"2025-03-24 02:17:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:kNdYIx-mwKoC",101114,,,,0,0.00,0,3,1,"","",""
0,"MM Hasan","NUMERICAL SIMULATION OVER A NANOFLUID FLOW KINETICS IN A SQUARE DUCT DRIVEN BY EXOTHERMIC CHEMICAL REACTION",2021,"BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY (BUET), DHAKA","","","https://scholar.google.com",8,"2025-03-24 02:17:56","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MAx74icAAAAJ&pagesize=100&citation_for_view=MAx74icAAAAJ:_FxGoFyzp5QC",,,,,0,0.00,0,1,4,"","",""
