Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"S Rahman, P Quin, T Walsh, MJ Vidal-Calleja, T., McPhee, E Toohey, ...","Preliminary estimation of fat depth in the lamb short loin using a hyperspectral camera",2018,"Animal Production Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16909919197874741002,4873352005151757097",9,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:Tyk-4Ss8FVUC",58,,1488,1496,20,2.86,3,8,7,"","",""
11,"S Sarker, S Rahman, T Hossain, S Faiza Ahmed, L Jamal, MAR Ahad","Skeleton-based activity recognition: preprocessing and approaches",2021,"Contactless Human Activity Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359519201934155406",15,"2025-03-24 02:00:19","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:kNdYIx-mwKoC",,,43,81,11,2.75,2,6,4,"","",""
7,"T Hossain, S Sarker, S Rahman, MAR Ahad","Skeleton-based human action recognition on large-scale datasets",2021,"Vision, Sensing and Analytics: Integrative Approaches","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5745664954188323577",16,"2025-03-24 02:00:19","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:0EnyYjriUFMC",,,125,146,7,1.75,2,4,4,"","",""
12,"S Rahman, A Lam, I Sato, A Robles-Kelly","Color photometric stereo using a rainbow light for non-Lambertian multicolored surfaces",2015,"Computer Vision–ACCV 2014: 12th Asian Conference on Computer Vision …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11944091593647103992",14,"2025-03-24 02:00:19","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:IjCSPb-OGe4C",,,,,12,1.20,3,4,10,"","",""
6,"RA Nihal, NM Broti, SA Deowan, S Rahman","Design and development of an anthropomorphic robotic hand using TPU material",2019,"2019 2nd international conference on innovation in engineering and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9371758605416082133",19,"2025-03-24 02:00:19","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:3fE2CSJIrl8C",,,,,6,1.00,2,4,6,"","",""
5,"O Shahid, S Rahman, SF Ahmed, MA Arrafi, MAR Ahad","Data-driven automated detection of autism spectrum disorder using activity analysis: A review",2020,"Preprints","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3842724094874203729",20,"2025-03-24 02:00:19","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:eQOLeE2rZwMC",,,,,5,1.00,1,5,5,"","",""
3,"MM Hasan, MA Islam, S Rahman, MR Frater, JF Arnold","No-Reference Quality Assessment of Transmitted Stereoscopic Videos Based on Human Visual System",2022,"Applied Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15701421093650264405",22,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:ULOm3_A8WrAC",12,19,10090,10090,3,1.00,1,5,3,"","",""
7,"S Rahman, A Robles-Kelly","An optimisation approach to the recovery of reflection parameters from a single hyperspectral image",2013,"Computer Vision and Image Understanding","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10924748277003903017",17,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:UeHWp8X0CEIC",117,12,1672,1688,7,0.58,4,2,12,"","",""
2,"MAR Ahad, A Inoue","Vision, Sensing and Analytics: Integrative Approaches",2021,"","Springer","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1126914027674585774",24,"2025-03-24 02:00:19","Book","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:M3ejUd6NZC8C",,,,,2,0.50,1,2,4,"","",""
1,"TT Banna, S Deb, S Rahman, S Rahman","GEMM: A Graph Embedded Model for Memorability Prediction",2023,"2023 International Joint Conference on Neural Networks (IJCNN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13682279035807991599",27,"2025-03-24 02:00:19","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:dhFuZR0502QC",,,1,8,1,0.50,0,4,2,"","",""
