Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"TT Sarker, T Islam, KR Ahmed","Cannabis seed variant detection using faster r-cnn",2024,"2024 10th International Conference on Advanced Computing and Communication …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8870176925406040711,5301202990230384187",1,"2025-03-23 16:51:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:zYLM7Y9cAGgC",,,,,6,6.00,2,3,1,"","",""
3,"TT Sarker, MG Embaby, KR Ahmed, A AbuGhazaleh","Gasformer: A transformer-based architecture for segmenting methane emissions from livestock in optical gas imaging",2024,"Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15889012143543963077,13612003320740251776",2,"2025-03-23 16:51:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:WF5omc3nYNoC",,,,,3,3.00,1,4,1,"","",""
2,"T Islam, TT Sarker, KR Ahmed, N Lakhssassi","Detection and Classification of Cannabis Seeds Using RetinaNet and Faster R-CNN",2024,"Seeds","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14552414911277091420",4,"2025-03-23 16:51:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:ufrVoPGSRksC",3,3,456,478,2,2.00,1,4,1,"","",""
3,"TT Sarker, JM Banda","Solar event tracking with deep regression networks: A proof of concept evaluation",2019,"2019 IEEE International Conference on Big Data (Big Data)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16807477330913722028,12598455208240609505",3,"2025-03-23 16:51:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:UeHWp8X0CEIC",,,4942,4949,3,0.50,2,2,6,"","",""
0,"MG Embaby, TT Sarker, A AbuGhazaleh, KR Ahmed","Optical gas imaging and deep learning for quantifying enteric methane emissions from rumen fermentation in vitro",2025,"IET Image Processing","","","https://scholar.google.com",5,"2025-03-23 16:51:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:UebtZRa9Y70C",19,1,13327,,0,0.00,0,4,1,"","",""
0,"T Islam, TT Sarker, KR Ahmed, CB Rankrape, K Gage","WeedVision: Multi-Stage Growth and Classification of Weeds using DETR and RetinaNet for Precision Agriculture",2024,"2024 International Conference on Machine Learning and Applications (ICMLA …","","","https://scholar.google.com",6,"2025-03-23 16:51:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i1SmuwYAAAAJ&pagesize=100&citation_for_view=i1SmuwYAAAAJ:hqOjcs7Dif8C",,,,,0,0.00,0,5,1,"","",""
